Matrix1,Matrix2,cuBlas (µs),cuSparse (µs),gpuDense (µs),gpuSparse (µs),Blas (µs),cpuSparseParallel (µs),cpuDenseParallel (µs)
s-vs-d_0.04_A1.mtx,s-vs-d_0.04_B0.mtx,30059,104110,340282366920938463463374607431768211455,1,118270,38438,340282366920938463463374607431768211455
s-vs-d_0.04_A1.mtx,s-vs-d_0.04_B1.mtx,29545,101965,340282366920938463463374607431768211455,1,69744,39674,340282366920938463463374607431768211455
s-vs-d_0.04_B0.mtx,s-vs-d_0.04_A0.mtx,31158,113397,340282366920938463463374607431768211455,1,113018,39591,340282366920938463463374607431768211455
s-vs-d_0.04_B0.mtx,s-vs-d_0.04_A1.mtx,31430,116013,340282366920938463463374607431768211455,1,104177,39200,340282366920938463463374607431768211455
s-vs-d_0.04_B0.mtx,s-vs-d_0.04_B1.mtx,29236,109602,340282366920938463463374607431768211455,1,65074,39314,340282366920938463463374607431768211455
s-vs-d_0.04_B1.mtx,s-vs-d_0.04_A0.mtx,29756,93515,340282366920938463463374607431768211455,1,95124,31474,340282366920938463463374607431768211455
s-vs-d_0.04_B1.mtx,s-vs-d_0.04_A1.mtx,30445,91978,340282366920938463463374607431768211455,1,79980,32116,340282366920938463463374607431768211455
s-vs-d_0.04_B1.mtx,s-vs-d_0.04_B0.mtx,29782,90738,340282366920938463463374607431768211455,1,71083,30711,340282366920938463463374607431768211455
s-vs-d_0.055_A0.mtx,s-vs-d_0.055_A1.mtx,32229,153564,340282366920938463463374607431768211455,1,67922,63208,340282366920938463463374607431768211455
s-vs-d_0.055_A0.mtx,s-vs-d_0.055_B0.mtx,30977,157651,340282366920938463463374607431768211455,1,112059,56929,340282366920938463463374607431768211455
s-vs-d_0.055_A0.mtx,s-vs-d_0.055_B1.mtx,32947,157146,340282366920938463463374607431768211455,1,69674,64663,340282366920938463463374607431768211455
s-vs-d_0.055_A1.mtx,s-vs-d_0.055_A0.mtx,29937,183094,340282366920938463463374607431768211455,1,69528,67694,340282366920938463463374607431768211455
s-vs-d_0.055_A1.mtx,s-vs-d_0.055_B0.mtx,31360,171029,340282366920938463463374607431768211455,1,79358,63729,340282366920938463463374607431768211455
s-vs-d_0.055_A1.mtx,s-vs-d_0.055_B1.mtx,29874,160656,340282366920938463463374607431768211455,1,65595,57054,340282366920938463463374607431768211455
s-vs-d_0.055_B0.mtx,s-vs-d_0.055_A0.mtx,30993,182027,340282366920938463463374607431768211455,1,66386,58912,340282366920938463463374607431768211455
s-vs-d_0.055_B0.mtx,s-vs-d_0.055_A1.mtx,28953,154359,340282366920938463463374607431768211455,1,74552,54259,340282366920938463463374607431768211455
s-vs-d_0.055_B0.mtx,s-vs-d_0.055_B1.mtx,31568,147994,340282366920938463463374607431768211455,1,111878,54742,340282366920938463463374607431768211455
s-vs-d_0.055_B1.mtx,s-vs-d_0.055_A0.mtx,30606,202913,340282366920938463463374607431768211455,1,72204,78774,340282366920938463463374607431768211455
s-vs-d_0.055_B1.mtx,s-vs-d_0.055_A1.mtx,33780,180601,340282366920938463463374607431768211455,1,72330,60828,340282366920938463463374607431768211455
s-vs-d_0.055_B1.mtx,s-vs-d_0.055_B0.mtx,30729,180285,340282366920938463463374607431768211455,1,73718,62938,340282366920938463463374607431768211455
s-vs-d_0.05_A0.mtx,s-vs-d_0.05_A1.mtx,29756,141414,340282366920938463463374607431768211455,1,110375,51896,340282366920938463463374607431768211455
s-vs-d_0.05_A0.mtx,s-vs-d_0.05_B0.mtx,29620,148979,340282366920938463463374607431768211455,1,133330,49914,340282366920938463463374607431768211455
s-vs-d_0.05_A0.mtx,s-vs-d_0.05_B1.mtx,29762,143452,340282366920938463463374607431768211455,1,67383,51278,340282366920938463463374607431768211455
s-vs-d_0.05_A1.mtx,s-vs-d_0.05_A0.mtx,30109,147956,340282366920938463463374607431768211455,1,85875,49856,340282366920938463463374607431768211455
s-vs-d_0.05_A1.mtx,s-vs-d_0.05_B0.mtx,28754,148584,340282366920938463463374607431768211455,1,74146,49842,340282366920938463463374607431768211455
s-vs-d_0.05_A1.mtx,s-vs-d_0.05_B1.mtx,29155,132491,340282366920938463463374607431768211455,1,72815,50184,340282366920938463463374607431768211455
s-vs-d_0.05_B0.mtx,s-vs-d_0.05_A0.mtx,29855,157826,340282366920938463463374607431768211455,1,76433,58181,340282366920938463463374607431768211455
s-vs-d_0.05_B0.mtx,s-vs-d_0.05_A1.mtx,29848,148354,340282366920938463463374607431768211455,1,86777,54586,340282366920938463463374607431768211455
s-vs-d_0.05_B0.mtx,s-vs-d_0.05_B1.mtx,30980,159820,340282366920938463463374607431768211455,1,97814,58813,340282366920938463463374607431768211455
s-vs-d_0.05_B1.mtx,s-vs-d_0.05_A0.mtx,29852,125234,340282366920938463463374607431768211455,1,68329,43036,340282366920938463463374607431768211455
s-vs-d_0.05_B1.mtx,s-vs-d_0.05_A1.mtx,29779,117256,340282366920938463463374607431768211455,1,69559,45541,340282366920938463463374607431768211455
s-vs-d_0.05_B1.mtx,s-vs-d_0.05_B0.mtx,29914,130361,340282366920938463463374607431768211455,1,66706,43848,340282366920938463463374607431768211455
s-vs-d_0.065_A0.mtx,s-vs-d_0.065_A1.mtx,28501,207132,340282366920938463463374607431768211455,1,69861,72511,340282366920938463463374607431768211455
s-vs-d_0.065_A0.mtx,s-vs-d_0.065_B0.mtx,29514,224911,340282366920938463463374607431768211455,1,69055,72078,340282366920938463463374607431768211455
s-vs-d_0.065_A0.mtx,s-vs-d_0.065_B1.mtx,29682,218086,340282366920938463463374607431768211455,1,94617,84115,340282366920938463463374607431768211455
s-vs-d_0.065_A1.mtx,s-vs-d_0.065_A0.mtx,28992,216386,340282366920938463463374607431768211455,1,69907,76779,340282366920938463463374607431768211455
s-vs-d_0.065_A1.mtx,s-vs-d_0.065_B0.mtx,32636,234888,340282366920938463463374607431768211455,1,70720,74489,340282366920938463463374607431768211455
s-vs-d_0.065_A1.mtx,s-vs-d_0.065_B1.mtx,31659,212471,340282366920938463463374607431768211455,1,79309,76568,340282366920938463463374607431768211455
s-vs-d_0.065_B0.mtx,s-vs-d_0.065_A0.mtx,30155,252532,340282366920938463463374607431768211455,1,70637,86361,340282366920938463463374607431768211455
s-vs-d_0.065_B0.mtx,s-vs-d_0.065_A1.mtx,29943,253269,340282366920938463463374607431768211455,1,97455,90952,340282366920938463463374607431768211455
s-vs-d_0.065_B0.mtx,s-vs-d_0.065_B1.mtx,30880,252699,340282366920938463463374607431768211455,1,68912,84911,340282366920938463463374607431768211455
s-vs-d_0.065_B1.mtx,s-vs-d_0.065_A0.mtx,30700,233556,340282366920938463463374607431768211455,1,86387,80586,340282366920938463463374607431768211455
s-vs-d_0.065_B1.mtx,s-vs-d_0.065_A1.mtx,28840,234807,340282366920938463463374607431768211455,1,72673,81028,340282366920938463463374607431768211455
s-vs-d_0.065_B1.mtx,s-vs-d_0.065_B0.mtx,29324,252934,340282366920938463463374607431768211455,1,105426,92975,340282366920938463463374607431768211455
s-vs-d_0.06_A0.mtx,s-vs-d_0.06_A1.mtx,29413,217414,340282366920938463463374607431768211455,1,80926,74808,340282366920938463463374607431768211455
s-vs-d_0.06_A0.mtx,s-vs-d_0.06_B0.mtx,33185,214576,340282366920938463463374607431768211455,1,84180,74092,340282366920938463463374607431768211455
s-vs-d_0.06_A0.mtx,s-vs-d_0.06_B1.mtx,30154,218278,340282366920938463463374607431768211455,1,129082,83843,340282366920938463463374607431768211455
s-vs-d_0.06_A1.mtx,s-vs-d_0.06_A0.mtx,30509,209663,340282366920938463463374607431768211455,1,100217,84233,340282366920938463463374607431768211455
s-vs-d_0.06_A1.mtx,s-vs-d_0.06_B0.mtx,30042,195833,340282366920938463463374607431768211455,1,112470,72819,340282366920938463463374607431768211455
s-vs-d_0.06_A1.mtx,s-vs-d_0.06_B1.mtx,28986,186841,340282366920938463463374607431768211455,1,82937,70135,340282366920938463463374607431768211455
s-vs-d_0.06_B0.mtx,s-vs-d_0.06_A0.mtx,29492,220481,340282366920938463463374607431768211455,1,68610,85271,340282366920938463463374607431768211455
